SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.18575894245645688
HB_BUSAVG,2017,0.1540917473253919
HB_BUSAVG,2018,0.20026888412072685
HB_BUSAVG,2019,0.2493764637861508
HB_HOUSTON,2016,0.19108621689434357
HB_HOUSTON,2017,0.17047194954197123
HB_HOUSTON,2018,0.20025659284621514
HB_HOUSTON,2019,0.24794508408383664
HB_HUBAVG,2016,0.1879425955582079
HB_HUBAVG,2017,0.15868560997937442
HB_HUBAVG,2018,0.20213511081366797
HB_HUBAVG,2019,0.2506466575136836
HB_NORTH,2016,0.18416685690243698
HB_NORTH,2017,0.152576115433796
HB_NORTH,2018,0.2001733564972247
HB_NORTH,2019,0.2496170395677022
HB_PAN,2019,0.5474307364306342
HB_SOUTH,2016,0.20852246680060865
HB_SOUTH,2017,0.15614227488410073
HB_SOUTH,2018,0.1986998017655733
HB_SOUTH,2019,0.24897895271839432
HB_WEST,2016,0.20684549160276697
HB_WEST,2017,0.23937593352069458
HB_WEST,2018,0.28736238200373776
HB_WEST,2019,0.32554395803479214
