SettlementPoint,Month,DayOfWeek,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_WEST,1,0,0.7415636156355445,0.7160380273345686,0.711339165442155,0.7455772268353144,0.8139554566655415,0.9224453252544452,1.5730174382025222,1.4267653618011489,1.1844802954735725,1.1727820872205843,1.0710957790800713,0.9731294032710522,0.9244521308543302,0.8958918609145038,0.8722017655402517,0.8531126391023217,0.8850012695492743,1.324393802967992,1.3984498242515522,1.1116479361411615,1.0317183374920844,0.9669866202762825,0.8847075906809984,0.799247040012726
HB_WEST,1,1,0.6436991252325182,0.6141656875012693,0.6200074663931646,0.6583252086803747,0.7153821933545303,0.8573886641020789,1.6016722898691447,1.5222855893487557,1.1983230792210127,1.1404587219865538,1.0237256314976266,0.9545261734659114,0.9066440840221653,0.8616521378196728,0.8198987918449678,0.8274008657903492,0.8822930899043697,1.4963357925868623,1.678640288953591,1.2472300421545648,1.0884566411137868,0.9885109783878853,0.8637223822690813,0.7892550744997622
HB_WEST,1,2,0.5502994635696058,0.5379407322535286,0.5401437425134108,0.5698765689287018,0.6823550856726213,1.0596479350033854,3.5246445497630337,3.5481277016822044,1.5883860215613772,0.8943284203947711,0.8447216290818188,0.7629758866725692,0.7239154210718193,0.6841831154627364,0.6453726368418312,0.6336076246028854,0.65832508723504,0.9426540284360192,1.034008645383053,0.8361127024634135,0.7875996041872819,0.7206030935888756,0.6468569345346596,0.5833133690953597
HB_WEST,1,3,0.7176876972620545,0.6892310246401883,0.6940983155023214,0.7220569397568996,0.8211459262850687,1.0653254576291011,2.0323542784052644,1.7730974646696938,1.2514823541840778,1.107116243356997,1.0112192940919014,0.9211404552992157,0.8764292950540401,0.8454144649092854,0.8007712203505581,0.8011787144692483,0.8434449100022826,1.2307227926930266,1.297461273909623,1.0375479418717186,0.9713980632710082,0.888835227111942,0.8333028341593264,0.7675378111151567
HB_WEST,1,4,0.783362470239749,0.7358657508131975,0.7458677597637131,0.7694109500626194,0.8405021521416696,0.9872752219462884,1.630558274525225,1.4361346082332775,1.1773903305364752,1.0894752364791218,1.0470821062350129,0.9668095728629255,0.906771872983035,0.8718674263634147,0.8383735194675852,0.8244989378208443,0.8790740020431452,1.311596773710959,1.3442700029493102,1.1024009095844036,1.0191790658807538,0.9827102024765657,0.8825105897338354,0.8270122631468714
HB_WEST,1,5,0.8620930131194698,0.7988057359543216,0.7669528832323583,0.7621932615612604,0.807932702785163,0.8906245913786338,1.0834938761277948,1.2076886196225427,1.4023100727890858,1.347129843525258,1.1658719435121823,1.0714379113455081,0.962568103560999,0.9043804210434555,0.8786209301311947,0.8641066992110883,0.8850019613825566,1.2033474262302226,1.3628732075142744,1.1221200366124742,1.0047770561827134,0.941437475482718,0.8915137514710367,0.8127184762236848
HB_WEST,1,6,0.8320877452456056,0.7547609387065951,0.7332958129916364,0.7430336505111056,0.7892098477808464,0.850280748138162,1.0617907673782443,1.1725979346360742,1.2697930709527112,1.2183553001845477,1.1152703427875867,1.0384408989175817,0.9746737693546063,0.9322932345588524,0.8962213525646898,0.8906980092404747,0.9182885488789707,1.282017721817206,1.5271389866890042,1.1698755284478357,1.0657696687302853,1.004855830268445,0.9103045691923091,0.848945722026622
HB_WEST,2,0,0.6896590520965181,0.6446868784280634,0.6391899222470013,0.6730717457255941,0.7640447632250417,0.9337753400437989,1.5352902175878487,1.3840114118096156,1.2049585116428583,1.1801739899142103,1.096369517609949,1.0502722359512184,0.9989673115946396,0.98263717276435,0.9397544853635506,0.9433869768750124,0.9422297229421573,1.1568360356016312,1.67454644084142,1.1412773993932455,1.0095111807606532,0.9014686677515922,0.8112350069314689,0.7026460128985594
HB_WEST,2,1,0.5731958486236993,0.5382097021984583,0.5738398889030518,0.5966429400438753,0.6890224676134953,0.8883730603318148,1.337389892592866,1.2120033007064317,1.1299887963826405,1.1064410736688157,1.0689056011378046,1.0376428125775699,0.9930966932556907,0.9985307831127272,0.9701527583037588,0.9868575530494637,1.0100698381177924,1.2360541798885005,1.9469136382237906,1.2448091024359482,1.1223072743007803,1.0207367552445676,0.9110821889318995,0.8077338503545577
HB_WEST,2,2,0.6951329934641958,0.6416941507021463,0.6306310261377294,0.6546669812925636,0.7439622009910716,0.9115224417896362,1.4606287761967218,1.238016320303797,1.1024601184237244,1.0913969938593073,1.0705548574031292,1.0569564334593666,1.0322948849511873,1.0159306798663208,0.99525317323997,1.027718175681979,0.9849473458927601,1.1448687625873224,1.7191305349920705,1.202620906890856,1.1002211527380685,0.9497824142415778,0.8000021950643977,0.7296064798301021
